id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
165,三块广告牌,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.jpg,英国 美国,2017, 马丁·麦克唐纳 Martin McDonagh, 弗兰西斯·麦克多蒙德 France...,8.7,怼天怼地，你走后，她与世界为敌。,剧情/犯罪,
166,心迷宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,中国大陆,2014, 忻钰坤 Yukun Xin, 霍卫民 Weimin Huo,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,剧情/犯罪/悬疑,
167,心灵奇旅,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.jpg,美国,2020, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.7,,动画/奇幻/音乐,
168,电锯惊魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg,美国,2004, 詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell,8.7,真相就在眼前。,悬疑/惊悚/恐怖,
169,小丑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,美国 加拿大,2019, 托德·菲利普斯 Todd Phillips, 杰昆·菲尼克斯 Joaquin Phoeni...,8.7,,剧情/犯罪/惊悚,
170,背靠背，脸对脸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg,中国大陆 中国香港,1994, 黄建新 Jianxin Huang, 黄建新 Jianxin Huang,9.5,,剧情,
171,达拉斯买家俱乐部,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,美国,2013, 让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon...,8.8,Jared Leto的腿比女人还美！,剧情/传记/同性,
172,疯狂原始人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,美国,2013, 科克·德·米科 Kirk De Micco, 科克·德·米科 Kirk De Micco,8.7,老少皆宜，这就是好莱坞动画的魅力。,喜剧/动画/冒险,
173,谍影重重3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,美国 德国 法国 英国,2007, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon,8.8,像吃了苏打饼一样干脆的电影。,动作/悬疑/惊悚,
174,绿里奇迹,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,美国,1999, 弗兰克·德拉邦特 Frank Darabont, 汤姆·汉克斯 Tom Hanks,8.9,天使暂时离开。,犯罪/剧情/奇幻/悬疑,
175,爱在午夜降临前,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,美国 希腊,2013, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,剧情/爱情,
176,海街日记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,日本,2015, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase,8.8,是枝裕和的家庭习作。,剧情/家庭,
177,上帝之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,巴西 法国,2002, 费尔南多·梅里尔斯 Fernando Meirelles, 费尔南多·梅里尔斯 Fernando Meirelles,9.0,被上帝抛弃了的上帝之城。,犯罪/剧情,
178,机器人之梦,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904305126.jpg,西班牙 法国,2023, 巴勃罗·贝格尔 Pablo Berger, 伊万·拉班达 Ivan Labanda,9.0,,剧情/动画/音乐,
179,英雄本色,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,中国香港,1986, 吴宇森 John Woo, 周润发 Yun-Fat Chow,8.6,英雄泪短，兄弟情长。 ,剧情/动作/犯罪,
180,无间道2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,中国香港,2003, 刘伟强, 刘伟强,8.8,,剧情/犯罪/惊悚,
181,风之谷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,日本,1984, 宫崎骏 Hayao Miyazaki, 岛本须美 Sumi Shimamoto,8.9,动画片的圣经。,动画/奇幻/冒险,
